Line,Period,Date,Punctuality
Blue Mountains,Month,January 2024,83.7%
Blue Mountains,Month,December 2023,79.7%
Blue Mountains,Month,November 2023,86.4%
Blue Mountains,Month,October 2023,81.7%
Blue Mountains,Month,September 2023,82.5%
Blue Mountains,Month,August 2023,79.0%
Blue Mountains,Month,July 2023,80.6%
Blue Mountains,Month,June 2023,80.8%
Blue Mountains,Month,May 2023,81.2%
Blue Mountains,Month,April 2023,77.4%
Blue Mountains,Month,March 2023,73.4%
Blue Mountains,Month,February 2023,79.8%
Blue Mountains,Month,January 2023,82.6%
Blue Mountains,Month,December 2022,78.7%
Blue Mountains,Month,November 2022,72.7%
Blue Mountains,Month,October 2022,77.0%
Blue Mountains,Month,September 2022,81.1%
Blue Mountains,Month,August 2022,80.8%
Blue Mountains,Month,July 2022,31.1%
Blue Mountains,Month,June 2022,74.9%
Blue Mountains,Month,May 2022,79.2%
Blue Mountains,Month,April 2022,84.2%
Blue Mountains,Month,March 2022,34.6%
Blue Mountains,Month,February 2022,79.3%
Blue Mountains,Month,January 2022,90.3%
Blue Mountains,Month,December 2021,85.4%
Blue Mountains,Month,November 2021,90.9%
Blue Mountains,Month,October 2021,92.5%
Blue Mountains,Month,September 2021,95.4%
Blue Mountains,Month,August 2021,94.7%
Blue Mountains,Month,July 2021,95.1%
Blue Mountains,Month,June 2021,86.3%
Blue Mountains,Month,May 2021,81.6%
Blue Mountains,Month,April 2021,87.8%
Blue Mountains,Month,March 2021,79.7%
Blue Mountains,Month,February 2021,88.4%
Blue Mountains,Month,January 2021,92.5%
Blue Mountains,Month,December 2020,86.2%
Blue Mountains,Month,November 2020,90.9%
Blue Mountains,Month,October 2020,91.8%
Blue Mountains,Month,September 2020,89.3%
Blue Mountains,Month,August 2020,85.9%
Blue Mountains,Month,July 2020,93.2%
Blue Mountains,Month,June 2020,93.3%
Blue Mountains,Month,May 2020,94.0%
Blue Mountains,Month,April 2020,94.8%
Blue Mountains,Month,March 2020,82.0%
Blue Mountains,Month,February 2020,67.8%
Blue Mountains,Month,January 2020,77.0%
Blue Mountains,Month,December 2019,77.6%
Blue Mountains,Month,November 2019,81.5%
Blue Mountains,Month,October 2019,82.9%
Blue Mountains,Month,September 2019,78.4%
Blue Mountains,Month,August 2019,85.6%
Blue Mountains,Month,July 2019,84.1%
Blue Mountains,Month,June 2019,83.8%
Blue Mountains,Month,May 2019,84.8%
Blue Mountains,Month,April 2019,75.6%
Blue Mountains,Month,March 2019,88.5%
Blue Mountains,Month,February 2019,84.8%
Blue Mountains,Month,January 2019,82.1%
Blue Mountains,Month,December 2018,83.8%
Blue Mountains,Month,November 2018,82.8%
Blue Mountains,Month,October 2018,89.8%
Blue Mountains,Month,September 2018,90.2%
Blue Mountains,Month,August 2018,91.5%
Blue Mountains,Month,July 2018,91.5%
Blue Mountains,Year,FY 2025,69.0%
Blue Mountains,Year,FY 2024,78.1%
Blue Mountains,Year,FY 2023,76.8%
Blue Mountains,Year,FY 2022,85.3%
Blue Mountains,Year,FY 2021,87.7%
Blue Mountains,Year,FY 2020,83.5%
Blue Mountains,Year,FY 2019,86.1%
